symbol_2025,symbol_2007
47.83,45.40
47.9,47.9
47.91,47.99
47.92,47.99
49,49
49.1,49.1
49.11,49.10
49.12,49.10
49.2,49.2
49.20,49.20
49.3,49.3
49.31,49.31
49.32,49.39
49.33,49.32
49.34,49.31
49.39,49.39
49.4,49.4
49.41,49.41
49.42,49.42
49.5,49.5
49.50,49.50
50,50
50.1,50.1
50.10,50.10
50.2,50.2
50.20,50.20
50.3,50.3
50.30,50.30
50.4,50.4
50.40,50.40
51,51
51.1,51.1
51.2,51.2
51.10,51.10
51.21,51.21
51.22,51.22
52,52
52.1,52.1
52.10,52.10
52.2,52.2
52.21,52.21
52.22,52.22
52.23,52.23
52.24,52.24
52.25,52.29
52.26,52.29
52.3,52.2
52.31,52.29
52.32,52.29
53,53
53.1,53.1
53.10,53.10
53.2,53.2
53.20,53.20
53.3,82.9
53.30,82.99
55,55
55.1,55.1
55.10,55.10
55.2,55.2
55.20,55.20
55.3,55.3
55.30,55.30
55.4,79.1
55.40,79.90
55.9,55.9
55.90,55.90
56,56
56.1,56.1
56.11,56.10
56.12,56.10
56.2,56.2
56.21,56.21
56.22,56.21
56.3,56.3
56.30,56.30
56.4,79.9
56.40,79.90
58,58
58.1,58.1
58.11,58.11
58.12,58.13
58.13,58.14
58.19,58.19
58.2,58.2
58.21,58.21
58.29,58.29
59,59
59.1,59.1
59.11,59.11
59.12,59.12
59.13,59.13
59.14,59.14
59.2,59.2
59.20,59.20
60,60
60.1,60.1
60.10,60.10
60.2,60.2
60.20,60.20
60.3,63.1
60.31,63.91
60.39,63.11
61,61
61.1,61.2
61.10,61.20
61.2,61.9
61.20,61.90
61.9,61.9
61.90,61.90
62,62
62.1,62.0
62.10,62.01
62.2,62.02
62.20,62.02
62.9,62.09
62.90,62.09
63,63
63.1,63.1
63.10,63.11
63.9,63.9
63.91,63.12
63.92,63.99
64,64
64.1,64.1
64.11,64.11
64.19,64.19
64.2,64.2
64.21,64.20
64.22,64.20
64.3,64.3
64.31,64.30
64.32,64.30
64.9,64.9
64.91,64.91
64.92,64.92
64.99,64.99
65,65
65.1,65.1
65.11,65.11
65.12,65.12
65.2,65.2
65.20,65.20
65.3,65.3
65.30,65.30
66,66
66.1,66.1
66.11,66.11
66.12,66.12
66.19,66.19
66.2,66.2
66.21,66.21
66.22,66.22
66.29,66.29
66.3,66.3
66.30,66.30
68,68
68.1,68.1
68.11,68.10
68.12,41.10
68.2,68.2
68.20,68.20
68.3,68.3
68.31,68.31
68.32,68.32
69,69
69.1,69.1
69.10,69.10
69.2,69.2
69.20,69.20
70,70
70.1,70.1
70.10,70.10
70.2,70.2
70.20,70.21
71,71
71.1,71.1
71.11,71.11
71.12,71.12
71.2,71.2
71.20,71.20
72,72
72.1,72.1
72.10,72.19
72.2,72.2
72.20,72.20
73,73
73.1,73.1
73.11,73.11
73.12,73.12
73.2,73.2
73.20,73.20
73.3,70.2
73.30,70.21
74,74
74.1,74.1
74.11,74.10
74.12,74.10
74.13,74.10
74.14,74.10
74.2,74.2
74.20,74.20
74.3,74.3
74.30,74.30
74.9,74.9
74.91,74.90
74.99,74.90
75,75
75.0,75.0
75.00,75.00
77,77
77.1,77.1
77.11,77.11
77.12,77.12
77.2,77.2
77.21,77.21
77.22,77.29
77.3,77.3
77.31,77.31
77.32,77.32
77.33,77.33
77.34,77.34
77.35,77.35
77.39,77.39
77.4,77.4
77.40,77.40
77.5,79.9
77.51,79.11
77.52,82.99
78,78
78.1,78.1
78.10,78.10
78.2,78.2
78.20,78.20
79,79
79.1,79.1
79.11,79.11
79.12,79.12
79.9,79.9
79.90,79.90
80,80
80.0,80.1
80.01,80.30
80.09,80.10
81,81
81.1,81.1
81.10,81.10
81.2,81.2
81.21,81.21
81.22,81.22
81.23,81.29
81.3,81.3
81.30,81.30
82,82
82.1,82.1
82.10,82.11
82.2,82.2
82.20,82.20
82.3,82.3
82.30,82.30
82.4,82.9
82.40,79.90
82.9,82.9
82.91,82.91
82.92,82.92
82.99,82.99
84,84
84.1,84.1
84.11,84.11
84.12,84.12
84.13,84.13
84.2,84.2
84.21,84.21
84.22,84.22
84.23,84.23
84.24,84.24
84.25,84.25
84.3,84.3
84.30,84.30
85,85
85.1,85.1
85.10,85.10
85.2,85.2
85.20,85.20
85.3,85.3
85.31,85.31
85.32,85.32
85.33,85.41
85.4,85.4
85.40,85.42
85.5,85.5
85.51,85.51
85.52,85.52
85.53,85.53
85.59,85.59
85.6,85.6
85.61,85.60
85.69,85.60
86,86
86.1,86.1
86.10,86.10
86.2,86.2
86.21,86.21
86.22,86.22
86.23,86.23
86.9,86.9
86.91,86.90
86.92,86.90
86.93,86.90
86.94,86.90
86.95,86.90
86.96,86.90
86.97,86.90
86.99,86.90
87,87
87.1,87.1
87.10,87.10
87.2,87.2
87.20,87.20
87.3,87.3
87.30,87.30
87.9,87.9
87.91,82.99
87.99,87.90
88,88
88.1,88.1
88.10,88.10
88.9,88.9
88.91,88.91
88.99,88.99
90,90
90.1,90.0
90.11,90.03
90.12,90.03
90.13,90.03
90.2,90.01
90.20,90.01
90.3,90.04
90.31,90.04
90.39,90.02
91,91
91.1,91.0
91.11,91.01
91.12,91.01
91.2,91.02
91.3,90.03
91.21,91.02
91.22,91.03
91.30,90.03
91.4,91.04
91.41,91.04
91.42,91.04
92,92
92.0,92.0
92.00,92.00
93,93
93.1,93.1
93.11,93.11
93.12,93.12
93.13,93.13
93.19,93.19
93.2,93.2
93.21,93.21
93.29,93.29
94,94
94.1,94.1
94.11,94.11
94.12,94.12
94.2,94.2
94.20,94.20
94.9,94.9
94.91,94.91
94.92,94.92
94.99,94.99
95,95
95.1,95.1
95.10,95.11
95.2,95.2
95.21,95.21
95.22,95.22
95.23,95.23
95.24,95.24
95.25,95.25
95.29,95.29
95.3,45.2
95.31,45.20
95.32,45.40
95.4,82.9
95.40,45.40
96,96
96.1,96.01
96.10,96.01
96.2,96.02
96.21,96.02
96.22,96.02
96.23,96.04
96.3,96.03
96.30,96.03
96.4,82.9
96.40,82.99
96.9,96.0
96.91,96.01
96.99,96.09
97,97
97.0,97.0
97.00,97.00
98,98
98.1,98.1
98.10,98.10
98.2,98.2
98.20,98.20
99,99
99.0,99.0
99.00,99.00
A,A
B,B
C,C
D,D
E,E
F,F
G,G
H,H
I,I
J,J
K,J
L,K
M,L
N,M
O,N
P,O
Q,P
R,Q
S,R
T,S
U,T
V,U
