typ,symbol,nazwa
PODKLASA,08.91.Z,Wydobywanie minerałów dla przemysłu chemicznego oraz do produkcji nawozów
KLASA,08.92,Wydobywanie torfu
PODKLASA,08.92.Z,Wydobywanie torfu
KLASA,08.93,Wydobywanie soli
PODKLASA,08.93.Z,Wydobywanie soli
KLASA,08.99,"Pozostałe górnictwo i wydobywanie, gdzie indziej niesklasyfikowane"
PODKLASA,08.99.Z,"Pozostałe górnictwo i wydobywanie, gdzie indziej niesklasyfikowane"
DZIAŁ,09,DZIAŁALNOŚĆ USŁUGOWA WSPOMAGAJĄCA GÓRNICTWO I WYDOBYWANIE
GRUPA,09.1,Działalność usługowa wspomagająca eksploatację złóż ropy naftowej i gazu ziemnego
KLASA,09.10,Działalność usługowa wspomagająca eksploatację złóż ropy naftowej i gazu ziemnego
PODKLASA,09.10.Z,Działalność usługowa wspomagająca eksploatację złóż ropy naftowej i gazu ziemnego
GRUPA,09.9,Działalność usługowa wspomagająca pozostałe górnictwo i wydobywanie
KLASA,09.90,Działalność usługowa wspomagająca pozostałe górnictwo i wydobywanie
PODKLASA,09.90.Z,Działalność usługowa wspomagająca pozostałe górnictwo i wydobywanie
SEKCJA,C,PRZETWÓRSTWO PRZEMYSŁOWE
DZIAŁ,10,PRODUKCJA ARTYKUŁÓW SPOŻYWCZYCH
GRUPA,10.1,Przetwarzanie i konserwowanie mięsa oraz produkcja wyrobów z mięsa
KLASA,10.11,"Przetwarzanie i konserwowanie mięsa, z wyłączeniem mięsa z drobiu"
PODKLASA,10.11.Z,"Przetwarzanie i konserwowanie mięsa, z wyłączeniem mięsa z drobiu"
KLASA,10.12,Przetwarzanie i konserwowanie mięsa z drobiu
PODKLASA,10.12.Z,Przetwarzanie i konserwowanie mięsa z drobiu
KLASA,10.13,"Produkcja wyrobów z mięsa, włączając wyroby z mięsa drobiowego"
PODKLASA,10.13.Z,"Produkcja wyrobów z mięsa, włączając wyroby z mięsa drobiowego"
GRUPA,10.2,"Przetwarzanie i konserwowanie ryb, skorupiaków i mięczaków"
KLASA,10.20,"Przetwarzanie i konserwowanie ryb, skorupiaków i mięczaków"
PODKLASA,10.20.Z,"Przetwarzanie i konserwowanie ryb, skorupiaków i mięczaków"
GRUPA,10.3,Przetwarzanie i konserwowanie owoców i warzyw
KLASA,10.31,Przetwarzanie i konserwowanie ziemniaków
PODKLASA,10.31.Z,Przetwarzanie i konserwowanie ziemniaków
KLASA,10.32,Produkcja soków z owoców i warzyw
PODKLASA,10.32.Z,Produkcja soków z owoców i warzyw
KLASA,10.39,Pozostałe przetwarzanie i konserwowanie owoców i warzyw
PODKLASA,10.39.Z,Pozostałe przetwarzanie i konserwowanie owoców i warzyw
GRUPA,10.4,Produkcja olejów i tłuszczów pochodzenia roślinnego i zwierzęcego
KLASA,10.41,Produkcja olejów i pozostałych tłuszczów płynnych
PODKLASA,10.41.Z,Produkcja olejów i pozostałych tłuszczów płynnych
KLASA,10.42,Produkcja margaryny i podobnych tłuszczów jadalnych
PODKLASA,10.42.Z,Produkcja margaryny i podobnych tłuszczów jadalnych
GRUPA,10.5,Wytwarzanie wyrobów mleczarskich i lodów jadalnych
KLASA,10.51,Wytwarzanie wyrobów mleczarskich
PODKLASA,10.51.Z,Wytwarzanie wyrobów mleczarskich
KLASA,10.52,Produkcja lodów śmietankowych i pozostałych lodów jadalnych
PODKLASA,10.52.Z,Produkcja lodów śmietankowych i pozostałych lodów jadalnych
GRUPA,10.6,"Wytwarzanie produktów przemiału zbóż, skrobi i wyrobów skrobiowych"
KLASA,10.61,Wytwarzanie produktów przemiału zbóż
PODKLASA,10.61.Z,Wytwarzanie produktów przemiału zbóż
KLASA,10.62,Wytwarzanie skrobi i wyrobów skrobiowych
PODKLASA,10.62.Z,Wytwarzanie skrobi i wyrobów skrobiowych
GRUPA,10.7,Produkcja wyrobów piekarniczych i mącznych
KLASA,10.71,Produkcja pieczywa; produkcja świeżych wyrobów ciastkarskich i ciastek
PODKLASA,10.71.Z,Produkcja pieczywa; produkcja świeżych wyrobów ciastkarskich i ciastek
KLASA,10.72,"Produkcja sucharów, herbatników, konserwowanych wyrobów ciastkarskich i ciastek"
PODKLASA,10.72.Z,"Produkcja sucharów, herbatników, konserwowanych wyrobów ciastkarskich i ciastek"
KLASA,10.73,Produkcja wyrobów mącznych
PODKLASA,10.73.Z,Produkcja wyrobów mącznych
GRUPA,10.8,Produkcja pozostałych artykułów spożywczych
KLASA,10.81,Produkcja cukru
PODKLASA,10.81.Z,Produkcja cukru
KLASA,10.82,"Produkcja kakao, czekolady i wyrobów cukierniczych"
PODKLASA,10.82.Z,"Produkcja kakao, czekolady i wyrobów cukierniczych"
KLASA,10.83,Przetwórstwo herbaty i kawy
PODKLASA,10.83.Z,Przetwórstwo herbaty i kawy
KLASA,10.84,Produkcja przypraw
PODKLASA,10.84.Z,Produkcja przypraw
KLASA,10.85,Wytwarzanie gotowych posiłków i dań
PODKLASA,10.85.Z,Wytwarzanie gotowych posiłków i dań
KLASA,10.86,Produkcja artykułów spożywczych homogenizowanych i żywności dietetycznej
PODKLASA,10.86.Z,Produkcja artykułów spożywczych homogenizowanych i żywności dietetycznej
KLASA,10.89,"Produkcja pozostałych artykułów spożywczych, gdzie indziej niesklasyfikowana"
PODKLASA,10.89.A,Produkcja suplementów diety
PODKLASA,10.89.B,Produkcja substytutów mięsa
PODKLASA,10.89.C,"Produkcja roślinnych substytutów dla jaj, nabiału i innych produktów mlecznych, z wyłączeniem napojów"
PODKLASA,10.89.D,"Produkcja pozostałych artykułów spożywczych, z wyłączeniem suplementów diety, substytutów mięsa, roślinnych substytutów dla jaj, nabiału i innych produktów mlecznych, gdzie indziej niesklasyfikowana"
GRUPA,10.9,Produkcja gotowej paszy i karmy dla zwierząt
KLASA,10.91,Produkcja gotowej paszy dla zwierząt gospodarskich
PODKLASA,10.91.Z,Produkcja gotowej paszy dla zwierząt gospodarskich
KLASA,10.92,Produkcja gotowej karmy dla zwierząt domowych
PODKLASA,10.92.Z,Produkcja gotowej karmy dla zwierząt domowych
DZIAŁ,11,PRODUKCJA NAPOJÓW
GRUPA,11.0,Produkcja napojów
KLASA,11.01,"Destylowanie, rektyfikowanie i mieszanie alkoholi"
PODKLASA,11.01.Z,"Destylowanie, rektyfikowanie i mieszanie alkoholi"
KLASA,11.02,Produkcja win gronowych
PODKLASA,11.02.Z,Produkcja win gronowych
KLASA,11.03,Produkcja cydru i pozostałych owocowych napojów fermentowanych
PODKLASA,11.03.Z,Produkcja cydru i pozostałych owocowych napojów fermentowanych
