typ,symbol,nazwa
KLASA,35.13,Przesyłanie energii elektrycznej
PODKLASA,35.13.Z,Przesyłanie energii elektrycznej
KLASA,35.14,Dystrybucja energii elektrycznej
PODKLASA,35.14.Z,Dystrybucja energii elektrycznej
KLASA,35.15,Handel energią elektryczną
PODKLASA,35.15.Z,Handel energią elektryczną
KLASA,35.16,Magazynowanie energii elektrycznej
PODKLASA,35.16.Z,Magazynowanie energii elektrycznej
GRUPA,35.2,Wytwarzanie paliw gazowych oraz dystrybucja i handel paliwami gazowymi w systemie sieciowym
KLASA,35.21,Wytwarzanie paliw gazowych
PODKLASA,35.21.Z,Wytwarzanie paliw gazowych
KLASA,35.22,Dystrybucja paliw gazowych w systemie sieciowym
PODKLASA,35.22.Z,Dystrybucja paliw gazowych w systemie sieciowym
KLASA,35.23,Handel paliwami gazowymi w systemie sieciowym
PODKLASA,35.23.Z,Handel paliwami gazowymi w systemie sieciowym
KLASA,35.24,Magazynowanie paliw gazowych w ramach usług zaopatrzenia sieciowego
PODKLASA,35.24.Z,Magazynowanie paliw gazowych w ramach usług zaopatrzenia sieciowego
GRUPA,35.3,Wytwarzanie i zaopatrywanie w parę wodną i powietrze do układów klimatyzacyjnych 
KLASA,35.30,Wytwarzanie i zaopatrywanie w parę wodną i powietrze do układów klimatyzacyjnych
PODKLASA,35.30.Z,Wytwarzanie i zaopatrywanie w parę wodną i powietrze do układów klimatyzacyjnych
GRUPA,35.4,Działalność brokerów i agentów w zakresie energii elektrycznej i gazu ziemnego
KLASA,35.40,Działalność brokerów i agentów w zakresie energii elektrycznej i gazu ziemnego
PODKLASA,35.40.Z,Działalność brokerów i agentów w zakresie energii elektrycznej i gazu ziemnego
SEKCJA,E,DOSTAWA WODY; GOSPODAROWANIE ŚCIEKAMI I ODPADAMI ORAZ DZIAŁALNOŚĆ ZWIĄZANA Z REKULTYWACJĄ
DZIAŁ,36,"POBÓR, UZDATNIANIE I DOSTARCZANIE WODY"
GRUPA,36.0,"Pobór, uzdatnianie i dostarczanie wody"
KLASA,36.00,"Pobór, uzdatnianie i dostarczanie wody"
PODKLASA,36.00.Z,"Pobór, uzdatnianie i dostarczanie wody"
DZIAŁ,37,ODPROWADZANIE I OCZYSZCZANIE ŚCIEKÓW
GRUPA,37.0,Odprowadzanie i oczyszczanie ścieków
KLASA,37.00,Odprowadzanie i oczyszczanie ścieków
PODKLASA,37.00.Z,Odprowadzanie i oczyszczanie ścieków
DZIAŁ,38,"DZIAŁALNOŚĆ ZWIĄZANA ZE ZBIERANIEM, ODZYSKIEM I UNIESZKODLIWIANIEM ODPADÓW"
GRUPA,38.1,Zbieranie odpadów
KLASA,38.11,Zbieranie odpadów innych niż niebezpieczne
PODKLASA,38.11.Z,Zbieranie odpadów innych niż niebezpieczne
KLASA,38.12,Zbieranie odpadów niebezpiecznych
PODKLASA,38.12.Z,Zbieranie odpadów niebezpiecznych
GRUPA,38.2,Odzysk związany z odpadami
KLASA,38.21,Odzysk surowców
PODKLASA,38.21.Z,Odzysk surowców
KLASA,38.22,Odzysk energii
PODKLASA,38.22.Z,Odzysk energii
KLASA,38.23,Pozostały odzysk związany z odpadami
PODKLASA,38.23.Z,Pozostały odzysk związany z odpadami
GRUPA,38.3,Unieszkodliwianie odpadów bez odzysku
KLASA,38.31,Spalanie odpadów bez odzysku energii
PODKLASA,38.31.Z,Spalanie odpadów bez odzysku energii
KLASA,38.32,Składowanie odpadów
PODKLASA,38.32.Z,Składowanie odpadów
KLASA,38.33,Pozostałe unieszkodliwianie odpadów
PODKLASA,38.33.Z,Pozostałe unieszkodliwianie odpadów
DZIAŁ,39,DZIAŁALNOŚĆ ZWIĄZANA Z REKULTYWACJĄ I POZOSTAŁA DZIAŁALNOŚĆ USŁUGOWA ZWIĄZANA Z GOSPODARKĄ ODPADAMI
GRUPA,39.0,Działalność związana z rekultywacją i pozostała działalność usługowa związana z gospodarką odpadami
KLASA,39.00,Działalność związana z rekultywacją i pozostała działalność usługowa związana z gospodarką odpadami
PODKLASA,39.00.Z,Działalność związana z rekultywacją i pozostała działalność usługowa związana z gospodarką odpadami
SEKCJA,F,BUDOWNICTWO
DZIAŁ,41,ROBOTY BUDOWLANE ZWIĄZANE ZE WZNOSZENIEM BUDYNKÓW MIESZKALNYCH I NIEMIESZKALNYCH
GRUPA,41.0,Roboty budowlane związane ze wznoszeniem budynków mieszkalnych i niemieszkalnych
KLASA,41.00,Roboty budowlane związane ze wznoszeniem budynków mieszkalnych i niemieszkalnych
PODKLASA,41.00.A,Roboty budowlane związane ze wznoszeniem budynków mieszkalnych 
PODKLASA,41.00.B,Roboty budowlane związane ze wznoszeniem budynków niemieszkalnych
DZIAŁ,42,ROBOTY ZWIĄZANE Z BUDOWĄ OBIEKTÓW INŻYNIERII LĄDOWEJ I WODNEJ
GRUPA,42.1,Roboty związane z budową dróg kołowych i szynowych
KLASA,42.11,Roboty związane z budową dróg i autostrad
PODKLASA,42.11.Z,Roboty związane z budową dróg i autostrad
KLASA,42.12,Roboty związane z budową dróg szynowych i kolei podziemnej
PODKLASA,42.12.Z,Roboty związane z budową dróg szynowych i kolei podziemnej
KLASA,42.13,Roboty związane z budową mostów i tuneli
PODKLASA,42.13.Z,Roboty związane z budową mostów i tuneli
GRUPA,42.2,"Roboty związane z budową rurociągów, linii telekomunikacyjnych i elektroenergetycznych"
KLASA,42.21,Roboty związane z budową rurociągów przesyłowych i sieci rozdzielczych
PODKLASA,42.21.Z,Roboty związane z budową rurociągów przesyłowych i sieci rozdzielczych
KLASA,42.22,Roboty związane z budową linii telekomunikacyjnych i elektroenergetycznych
PODKLASA,42.22.Z,Roboty związane z budową linii telekomunikacyjnych i elektroenergetycznych
GRUPA,42.9,Roboty związane z budową pozostałych obiektów inżynierii lądowej i wodnej
KLASA,42.91,Roboty związane z budową obiektów inżynierii wodnej
PODKLASA,42.91.Z,Roboty związane z budową obiektów inżynierii wodnej
KLASA,42.99,"Roboty związane z budową pozostałych obiektów inżynierii lądowej i wodnej, gdzie indziej niesklasyfikowane"
PODKLASA,42.99.Z,"Roboty związane z budową pozostałych obiektów inżynierii lądowej i wodnej, gdzie indziej niesklasyfikowane"
DZIAŁ,43,ROBOTY BUDOWLANE SPECJALISTYCZNE
GRUPA,43.1,Rozbiórka i przygotowanie terenu pod budowę
KLASA,43.11,Rozbiórka i burzenie obiektów budowlanych
PODKLASA,43.11.Z,Rozbiórka i burzenie obiektów budowlanych
KLASA,43.12,Przygotowanie terenu pod budowę
PODKLASA,43.12.Z,Przygotowanie terenu pod budowę
KLASA,43.13,Wykonywanie wykopów i wierceń geologiczno-inżynierskich
PODKLASA,43.13.Z,Wykonywanie wykopów i wierceń geologiczno-inżynierskich
GRUPA,43.2,"Wykonywanie instalacji elektrycznych, wodno-kanalizacyjnych i pozostałych instalacji budowlanych"
KLASA,43.21,Wykonywanie instalacji elektrycznych
PODKLASA,43.21.Z,Wykonywanie instalacji elektrycznych
KLASA,43.22,"Wykonywanie instalacji wodno-kanalizacyjnych, cieplnych i klimatyzacyjnych"
PODKLASA,43.22.Z,"Wykonywanie instalacji wodno-kanalizacyjnych, cieplnych i klimatyzacyjnych"
KLASA,43.23,Montaż izolacji
PODKLASA,43.23.Z,Montaż izolacji
KLASA,43.24,Wykonywanie pozostałych instalacji budowlanych
PODKLASA,43.24.Z,Wykonywanie pozostałych instalacji budowlanych
GRUPA,43.3,Wykonywanie robót budowlanych wykończeniowych
KLASA,43.31,Tynkowanie
PODKLASA,43.31.Z,Tynkowanie
KLASA,43.32,Zakładanie stolarki budowlanej
PODKLASA,43.32.Z,Zakładanie stolarki budowlanej
KLASA,43.33,Posadzkarstwo; tapetowanie i oblicowywanie ścian
PODKLASA,43.33.Z,Posadzkarstwo; tapetowanie i oblicowywanie ścian
KLASA,43.34,Malowanie i szklenie
PODKLASA,43.34.Z,Malowanie i szklenie
KLASA,43.35,Wykonywanie pozostałych robót budowlanych wykończeniowych
PODKLASA,43.35.Z,Wykonywanie pozostałych robót budowlanych wykończeniowych
GRUPA,43.4,Wykonywanie specjalistycznych robót budowlanych w zakresie budowy budynków
KLASA,43.41,Wykonywanie konstrukcji i pokryć dachowych
PODKLASA,43.41.Z,Wykonywanie konstrukcji i pokryć dachowych
KLASA,43.42,Wykonywanie pozostałych specjalistycznych robót budowlanych w zakresie budowy budynków
PODKLASA,43.42.Z,Wykonywanie pozostałych specjalistycznych robót budowlanych w zakresie budowy budynków
GRUPA,43.5,Roboty budowlane specjalistyczne w zakresie inżynierii lądowej i wodnej
KLASA,43.50,Roboty budowlane specjalistyczne w zakresie inżynierii lądowej i wodnej
PODKLASA,43.50.Z,Roboty budowlane specjalistyczne w zakresie inżynierii lądowej i wodnej
GRUPA,43.6,Pośrednictwo w zakresie specjalistycznych usług budowlanych
KLASA,43.60,Pośrednictwo w zakresie specjalistycznych usług budowlanych
PODKLASA,43.60.Z,Pośrednictwo w zakresie specjalistycznych usług budowlanych
GRUPA,43.9,Pozostałe specjalistyczne roboty budowlane
KLASA,43.91,Roboty murarskie
PODKLASA,43.91.Z,Roboty murarskie
KLASA,43.99,"Pozostałe specjalistyczne roboty budowlane, gdzie indziej niesklasyfikowane"
PODKLASA,43.99.Z,"Pozostałe specjalistyczne roboty budowlane, gdzie indziej niesklasyfikowane"
SEKCJA,G,HANDEL HURTOWY I DETALICZNY
DZIAŁ,46,HANDEL HURTOWY
GRUPA,46.1,Sprzedaż hurtowa realizowana na zlecenie
KLASA,46.11,"Działalność agentów zajmujących się sprzedażą hurtową płodów rolnych, żywych zwierząt, surowców dla przemysłu tekstylnego i półproduktów"
PODKLASA,46.11.A,Działalność agentów zajmujących się sprzedażą hurtową zbóż i nasion oleistych
PODKLASA,46.11.B,"Działalność agentów zajmujących się sprzedażą hurtową pozostałych płodów rolnych, żywych zwierząt, surowców dla przemysłu tekstylnego i półproduktów"
KLASA,46.12,"Działalność agentów zajmujących się sprzedażą hurtową paliw, rud, metali i chemikaliów przemysłowych"
PODKLASA,46.12.Z,"Działalność agentów zajmujących się sprzedażą hurtową paliw, rud, metali i chemikaliów przemysłowych"
KLASA,46.13,Działalność agentów zajmujących się sprzedażą hurtową drewna i materiałów budowlanych
PODKLASA,46.13.Z,Działalność agentów zajmujących się sprzedażą hurtową drewna i materiałów budowlanych
KLASA,46.14,"Działalność agentów zajmujących się sprzedażą hurtową maszyn, urządzeń przemysłowych, statków i samolotów"
PODKLASA,46.14.Z,"Działalność agentów zajmujących się sprzedażą hurtową maszyn, urządzeń przemysłowych, statków i samolotów"
KLASA,46.15,"Działalność agentów zajmujących się sprzedażą hurtową mebli, artykułów gospodarstwa domowego i drobnych wyrobów metalowych"
PODKLASA,46.15.Z,"Działalność agentów zajmujących się sprzedażą hurtową mebli, artykułów gospodarstwa domowego i drobnych wyrobów metalowych"
KLASA,46.16,"Działalność agentów zajmujących się sprzedażą hurtową wyrobów tekstylnych, odzieży, wyrobów futrzarskich, obuwia i artykułów skórzanych"
PODKLASA,46.16.Z,"Działalność agentów zajmujących się sprzedażą hurtową wyrobów tekstylnych, odzieży, wyrobów futrzarskich, obuwia i artykułów skórzanych"
KLASA,46.17,"Działalność agentów zajmujących się sprzedażą hurtową żywności, napojów i wyrobów tytoniowych"
PODKLASA,46.17.Z,"Działalność agentów zajmujących się sprzedażą hurtową żywności, napojów i wyrobów tytoniowych"
KLASA,46.18,Działalność agentów zajmujących się sprzedażą hurtową wyspecjalizowaną pozostałych towarów
PODKLASA,46.18.Z,Działalność agentów zajmujących się sprzedażą hurtową wyspecjalizowaną pozostałych towarów
KLASA,46.19,Działalność agentów zajmujących się sprzedażą hurtową niewyspecjalizowaną
PODKLASA,46.19.Z,Działalność agentów zajmujących się sprzedażą hurtową niewyspecjalizowaną
GRUPA,46.2,Sprzedaż hurtowa płodów rolnych i żywych zwierząt
KLASA,46.21,"Sprzedaż hurtowa zboża, nieprzetworzonego tytoniu, nasion i pasz dla zwierząt"
PODKLASA,46.21.A,Sprzedaż hurtowa zboża i nasion roślin oleistych
PODKLASA,46.21.B,Sprzedaż hurtowa nieprzetworzonego tytoniu i pasz dla zwierząt
KLASA,46.22,Sprzedaż hurtowa kwiatów i roślin
PODKLASA,46.22.Z,Sprzedaż hurtowa kwiatów i roślin
KLASA,46.23,Sprzedaż hurtowa żywych zwierząt
PODKLASA,46.23.Z,Sprzedaż hurtowa żywych zwierząt
KLASA,46.24,Sprzedaż hurtowa skór
PODKLASA,46.24.Z,Sprzedaż hurtowa skór
GRUPA,46.3,"Sprzedaż hurtowa żywności, napojów i wyrobów tytoniowych"
KLASA,46.31,Sprzedaż hurtowa owoców i warzyw
PODKLASA,46.31.Z,Sprzedaż hurtowa owoców i warzyw
KLASA,46.32,Sprzedaż hurtowa mięsa i wyrobów z mięsa oraz ryb i wyrobów z ryb
PODKLASA,46.32.Z,Sprzedaż hurtowa mięsa i wyrobów z mięsa oraz ryb i wyrobów z ryb
KLASA,46.33,"Sprzedaż hurtowa mleka, wyrobów mleczarskich, jaj, olejów i tłuszczów jadalnych"
PODKLASA,46.33.Z,"Sprzedaż hurtowa mleka, wyrobów mleczarskich, jaj, olejów i tłuszczów jadalnych"
KLASA,46.34,Sprzedaż hurtowa napojów alkoholowych i bezalkoholowych
PODKLASA,46.34.A,Sprzedaż hurtowa napojów alkoholowych
PODKLASA,46.34.B,Sprzedaż hurtowa napojów bezalkoholowych
KLASA,46.35,Sprzedaż hurtowa wyrobów tytoniowych
PODKLASA,46.35.Z,Sprzedaż hurtowa wyrobów tytoniowych
KLASA,46.36,"Sprzedaż hurtowa cukru, czekolady i wyrobów cukierniczych"
PODKLASA,46.36.Z,"Sprzedaż hurtowa cukru, czekolady i wyrobów cukierniczych"
KLASA,46.37,"Sprzedaż hurtowa herbaty, kawy, kakao i przypraw"
PODKLASA,46.37.Z,"Sprzedaż hurtowa herbaty, kawy, kakao i przypraw"
KLASA,46.38,Sprzedaż hurtowa pozostałej żywności
PODKLASA,46.38.Z,Sprzedaż hurtowa pozostałej żywności
KLASA,46.39,"Sprzedaż hurtowa niewyspecjalizowana żywności, napojów i wyrobów tytoniowych"
PODKLASA,46.39.Z,"Sprzedaż hurtowa niewyspecjalizowana żywności, napojów i wyrobów tytoniowych"
GRUPA,46.4,Sprzedaż hurtowa artykułów użytku domowego
KLASA,46.41,Sprzedaż hurtowa wyrobów tekstylnych
PODKLASA,46.41.Z,Sprzedaż hurtowa wyrobów tekstylnych
KLASA,46.42,Sprzedaż hurtowa odzieży i obuwia
PODKLASA,46.42.Z,Sprzedaż hurtowa odzieży i obuwia
KLASA,46.43,Sprzedaż hurtowa elektrycznych artykułów użytku domowego
PODKLASA,46.43.Z,Sprzedaż hurtowa elektrycznych artykułów użytku domowego
KLASA,46.44,"Sprzedaż hurtowa wyrobów porcelanowych, ceramicznych i szklanych oraz środków czyszczących"
PODKLASA,46.44.Z,"Sprzedaż hurtowa wyrobów porcelanowych, ceramicznych i szklanych oraz środków czyszczących"
KLASA,46.45,Sprzedaż hurtowa perfum i kosmetyków
PODKLASA,46.45.Z,Sprzedaż hurtowa perfum i kosmetyków
KLASA,46.46,Sprzedaż hurtowa wyrobów farmaceutycznych i medycznych
PODKLASA,46.46.Z,Sprzedaż hurtowa wyrobów farmaceutycznych i medycznych
KLASA,46.47,"Sprzedaż hurtowa mebli do użytku domowego, biurowego i sklepowego, dywanów i sprzętu oświetleniowego"
PODKLASA,46.47.Z,"Sprzedaż hurtowa mebli do użytku domowego, biurowego i sklepowego, dywanów i sprzętu oświetleniowego"
KLASA,46.48,Sprzedaż hurtowa zegarków i biżuterii
PODKLASA,46.48.Z,Sprzedaż hurtowa zegarków i biżuterii
KLASA,46.49,Sprzedaż hurtowa pozostałych artykułów użytku domowego
PODKLASA,46.49.Z,Sprzedaż hurtowa pozostałych artykułów użytku domowego
GRUPA,46.5,Sprzedaż hurtowa urządzeń technologii informacyjnej i komunikacyjnej
KLASA,46.50,Sprzedaż hurtowa urządzeń technologii informacyjnej i komunikacyjnej
PODKLASA,46.50.Z,Sprzedaż hurtowa urządzeń technologii informacyjnej i komunikacyjnej
GRUPA,46.6,"Sprzedaż hurtowa pozostałych maszyn, urządzeń i dodatkowego wyposażenia"
KLASA,46.61,Sprzedaż hurtowa maszyn i urządzeń rolniczych oraz dodatkowego wyposażenia
PODKLASA,46.61.Z,Sprzedaż hurtowa maszyn i urządzeń rolniczych oraz dodatkowego wyposażenia
KLASA,46.62,Sprzedaż hurtowa obrabiarek
PODKLASA,46.62.Z,Sprzedaż hurtowa obrabiarek
KLASA,46.63,"Sprzedaż hurtowa maszyn wykorzystywanych w górnictwie, budownictwie oraz inżynierii lądowej i wodnej"
PODKLASA,46.63.Z,"Sprzedaż hurtowa maszyn wykorzystywanych w górnictwie, budownictwie oraz inżynierii lądowej i wodnej"
KLASA,46.64,Sprzedaż hurtowa pozostałych maszyn i urządzeń
PODKLASA,46.64.Z,Sprzedaż hurtowa pozostałych maszyn i urządzeń
GRUPA,46.7,"Sprzedaż hurtowa pojazdów silnikowych, w tym motocykli, oraz części i akcesoriów do nich"
KLASA,46.71,"Sprzedaż hurtowa pojazdów silnikowych, z wyłączeniem motocykli"
PODKLASA,46.71.Z,"Sprzedaż hurtowa pojazdów silnikowych, z wyłączeniem motocykli"
KLASA,46.72,"Sprzedaż hurtowa części i akcesoriów do pojazdów silnikowych, z wyłączeniem motocykli"
PODKLASA,46.72.Z,"Sprzedaż hurtowa części i akcesoriów do pojazdów silnikowych, z wyłączeniem motocykli"
KLASA,46.73,Sprzedaż hurtowa motocykli oraz części i akcesoriów do nich
PODKLASA,46.73.Z,Sprzedaż hurtowa motocykli oraz części i akcesoriów do nich
GRUPA,46.8,Pozostała sprzedaż hurtowa wyspecjalizowana
KLASA,46.81,"Sprzedaż hurtowa paliw stałych, ciekłych, gazowych oraz produktów pochodnych"
PODKLASA,46.81.Z,"Sprzedaż hurtowa paliw stałych, ciekłych, gazowych oraz produktów pochodnych"
KLASA,46.82,Sprzedaż hurtowa metali i rud metali
PODKLASA,46.82.Z,Sprzedaż hurtowa metali i rud metali
KLASA,46.83,"Sprzedaż hurtowa drewna, materiałów budowlanych i wyposażenia sanitarnego"
PODKLASA,46.83.Z,"Sprzedaż hurtowa drewna, materiałów budowlanych i wyposażenia sanitarnego"
KLASA,46.84,Sprzedaż hurtowa wyrobów metalowych oraz sprzętu i dodatkowego wyposażenia hydraulicznego i grzejnego
PODKLASA,46.84.Z,Sprzedaż hurtowa wyrobów metalowych oraz sprzętu i dodatkowego wyposażenia hydraulicznego i grzejnego
KLASA,46.85,Sprzedaż hurtowa wyrobów chemicznych
PODKLASA,46.85.A,Sprzedaż hurtowa chemicznych nawozów i środków ochrony roślin
PODKLASA,46.85.B,Pozostała sprzedaż hurtowa wyrobów chemicznych
KLASA,46.86,Sprzedaż hurtowa pozostałych półproduktów
PODKLASA,46.86.Z,Sprzedaż hurtowa pozostałych półproduktów
KLASA,46.87,Sprzedaż hurtowa odpadów i złomu
PODKLASA,46.87.Z,Sprzedaż hurtowa odpadów i złomu
KLASA,46.89,"Pozostała sprzedaż hurtowa wyspecjalizowana, gdzie indziej niesklasyfikowana"
PODKLASA,46.89.Z,"Pozostała sprzedaż hurtowa wyspecjalizowana, gdzie indziej niesklasyfikowana"
GRUPA,46.9,Sprzedaż hurtowa niewyspecjalizowana
KLASA,46.90,Sprzedaż hurtowa niewyspecjalizowana
PODKLASA,46.90.Z,Sprzedaż hurtowa niewyspecjalizowana
DZIAŁ,47,HANDEL DETALICZNY
GRUPA,47.1,Sprzedaż detaliczna niewyspecjalizowana
KLASA,47.11,"Sprzedaż detaliczna niewyspecjalizowana z przewagą żywności, napojów lub wyrobów tytoniowych"
PODKLASA,47.11.Z,"Sprzedaż detaliczna niewyspecjalizowana z przewagą żywności, napojów lub wyrobów tytoniowych"
KLASA,47.12,Pozostała sprzedaż detaliczna niewyspecjalizowana
PODKLASA,47.12.Z,Pozostała sprzedaż detaliczna niewyspecjalizowana
GRUPA,47.2,"Sprzedaż detaliczna żywności, napojów i wyrobów tytoniowych"
KLASA,47.21,Sprzedaż detaliczna owoców i warzyw
PODKLASA,47.21.Z,Sprzedaż detaliczna owoców i warzyw
KLASA,47.22,Sprzedaż detaliczna mięsa i wyrobów z mięsa
PODKLASA,47.22.Z,Sprzedaż detaliczna mięsa i wyrobów z mięsa
KLASA,47.23,"Sprzedaż detaliczna ryb, skorupiaków i mięczaków"
PODKLASA,47.23.Z,"Sprzedaż detaliczna ryb, skorupiaków i mięczaków"
KLASA,47.24,"Sprzedaż detaliczna pieczywa, ciast, wyrobów ciastkarskich i cukierniczych"
PODKLASA,47.24.Z,"Sprzedaż detaliczna pieczywa, ciast, wyrobów ciastkarskich i cukierniczych"
KLASA,47.25,Sprzedaż detaliczna napojów alkoholowych i bezalkoholowych
PODKLASA,47.25.Z,Sprzedaż detaliczna napojów alkoholowych i bezalkoholowych
KLASA,47.26,Sprzedaż detaliczna wyrobów tytoniowych
PODKLASA,47.26.Z,Sprzedaż detaliczna wyrobów tytoniowych
KLASA,47.27,Sprzedaż detaliczna pozostałej żywności
PODKLASA,47.27.Z,Sprzedaż detaliczna pozostałej żywności
GRUPA,47.3,Sprzedaż detaliczna paliw do pojazdów silnikowych
KLASA,47.30,Sprzedaż detaliczna paliw do pojazdów silnikowych
PODKLASA,47.30.Z,Sprzedaż detaliczna paliw do pojazdów silnikowych
GRUPA,47.4,Sprzedaż detaliczna narzędzi technologii informacyjnej i komunikacyjnej
KLASA,47.40,Sprzedaż detaliczna narzędzi technologii informacyjnej i komunikacyjnej
PODKLASA,47.40.Z,Sprzedaż detaliczna narzędzi technologii informacyjnej i komunikacyjnej
GRUPA,47.5,Sprzedaż detaliczna pozostałych artykułów użytku domowego
KLASA,47.51,Sprzedaż detaliczna wyrobów tekstylnych
PODKLASA,47.51.Z,Sprzedaż detaliczna wyrobów tekstylnych
KLASA,47.52,"Sprzedaż detaliczna drobnych wyrobów metalowych, materiałów budowlanych, farb i szkła"
PODKLASA,47.52.Z,"Sprzedaż detaliczna drobnych wyrobów metalowych, materiałów budowlanych, farb i szkła"
KLASA,47.53,"Sprzedaż detaliczna dywanów, chodników i innych pokryć podłogowych oraz pokryć ściennych"
PODKLASA,47.53.Z,"Sprzedaż detaliczna dywanów, chodników i innych pokryć podłogowych oraz pokryć ściennych"
KLASA,47.54,Sprzedaż detaliczna elektrycznego sprzętu gospodarstwa domowego
PODKLASA,47.54.Z,Sprzedaż detaliczna elektrycznego sprzętu gospodarstwa domowego
KLASA,47.55,"Sprzedaż detaliczna mebli, sprzętu oświetleniowego, artykułów stołowych oraz pozostałych artykułów użytku domowego"
PODKLASA,47.55.Z,"Sprzedaż detaliczna mebli, sprzętu oświetleniowego, artykułów stołowych oraz pozostałych artykułów użytku domowego"
GRUPA,47.6,Sprzedaż detaliczna wyrobów związanych z kulturą i rekreacją
KLASA,47.61,Sprzedaż detaliczna książek
PODKLASA,47.61.Z,Sprzedaż detaliczna książek
KLASA,47.62,Sprzedaż detaliczna gazet i pozostałych periodyków oraz artykułów papierniczych
PODKLASA,47.62.Z,Sprzedaż detaliczna gazet i pozostałych periodyków oraz artykułów papierniczych
KLASA,47.63,Sprzedaż detaliczna sprzętu sportowego
PODKLASA,47.63.Z,Sprzedaż detaliczna sprzętu sportowego
KLASA,47.64,Sprzedaż detaliczna gier i zabawek
PODKLASA,47.64.Z,Sprzedaż detaliczna gier i zabawek
KLASA,47.69,"Sprzedaż detaliczna wyrobów związanych z kulturą i rekreacją, gdzie indziej niesklasyfikowana"
PODKLASA,47.69.A,Sprzedaż detaliczna instrumentów muzycznych i nut
PODKLASA,47.69.B,Sprzedaż detaliczna dzieł sztuki
PODKLASA,47.69.C,"Sprzedaż detaliczna pozostałych wyrobów związanych z kulturą i rekreacją, gdzie indziej niesklasyfikowana"
GRUPA,47.7,"Sprzedaż detaliczna pozostałych wyrobów z wyłączeniem pojazdów silnikowych, w tym motocykli"
KLASA,47.71,Sprzedaż detaliczna odzieży
PODKLASA,47.71.Z,Sprzedaż detaliczna odzieży
KLASA,47.72,Sprzedaż detaliczna obuwia i wyrobów skórzanych
PODKLASA,47.72.Z,Sprzedaż detaliczna obuwia i wyrobów skórzanych
KLASA,47.73,Sprzedaż detaliczna wyrobów farmaceutycznych
PODKLASA,47.73.Z,Sprzedaż detaliczna wyrobów farmaceutycznych
KLASA,47.74,Sprzedaż detaliczna wyrobów medycznych i ortopedycznych
PODKLASA,47.74.Z,Sprzedaż detaliczna wyrobów medycznych i ortopedycznych
KLASA,47.75,Sprzedaż detaliczna kosmetyków i artykułów toaletowych
PODKLASA,47.75.Z,Sprzedaż detaliczna kosmetyków i artykułów toaletowych
KLASA,47.76,"Sprzedaż detaliczna kwiatów, roślin, nawozów, żywych zwierząt domowych i karmy dla zwierząt domowych"
PODKLASA,47.76.A,"Sprzedaż detaliczna kwiatów, roślin, nasion, nawozów i środków ochrony roślin"
PODKLASA,47.76.B,"Sprzedaż detaliczna żywych zwierząt domowych, karmy dla zwierząt domowych"
KLASA,47.77,Sprzedaż detaliczna zegarków i biżuterii
PODKLASA,47.77.Z,Sprzedaż detaliczna zegarków i biżuterii
KLASA,47.78,Sprzedaż detaliczna pozostałych nowych wyrobów
PODKLASA,47.78.Z,Sprzedaż detaliczna pozostałych nowych wyrobów
KLASA,47.79,Sprzedaż detaliczna artykułów używanych
PODKLASA,47.79.A,Sprzedaż detaliczna używanych lub antykwarycznych książek
PODKLASA,47.79.B,Sprzedaż detaliczna antyków
PODKLASA,47.79.C,Sprzedaż detaliczna pozostałych artykułów używanych
GRUPA,47.8,"Sprzedaż detaliczna pojazdów silnikowych, w tym motocykli, oraz części i akcesoriów do nich"
KLASA,47.81,"Sprzedaż detaliczna pojazdów silnikowych, z wyłączeniem motocykli"
PODKLASA,47.81.Z,"Sprzedaż detaliczna pojazdów silnikowych, z wyłączeniem motocykli"
KLASA,47.82,"Sprzedaż detaliczna części i akcesoriów do pojazdów silnikowych, z wyłączeniem motocykli"
PODKLASA,47.82.Z,"Sprzedaż detaliczna części i akcesoriów do pojazdów silnikowych, z wyłączeniem motocykli"
KLASA,47.83,Sprzedaż detaliczna motocykli oraz części i akcesoriów do nich
PODKLASA,47.83.Z,Sprzedaż detaliczna motocykli oraz części i akcesoriów do nich
GRUPA,47.9,Pośrednictwo w sprzedaży detalicznej
KLASA,47.91,Pośrednictwo w sprzedaży detalicznej niewyspecjalizowanej
PODKLASA,47.91.Z,Pośrednictwo w sprzedaży detalicznej niewyspecjalizowanej
KLASA,47.92,Pośrednictwo w sprzedaży detalicznej wyspecjalizowanej
PODKLASA,47.92.Z,Pośrednictwo w sprzedaży detalicznej wyspecjalizowanej
SEKCJA,H,TRANSPORT I GOSPODARKA MAGAZYNOWA
DZIAŁ,49,TRANSPORT LĄDOWY ORAZ TRANSPORT RUROCIĄGOWY
GRUPA,49.1,Szynowy transport pasażerski
KLASA,49.11,Transport kolejowy pasażerski ciężki
PODKLASA,49.11.Z,Transport kolejowy pasażerski ciężki
KLASA,49.12,Pozostały szynowy transport pasażerski
PODKLASA,49.12.Z,Pozostały szynowy transport pasażerski
GRUPA,49.2,Transport kolejowy towarów
KLASA,49.20,Transport kolejowy towarów
PODKLASA,49.20.Z,Transport kolejowy towarów
GRUPA,49.3,Pozostały transport lądowy pasażerski
KLASA,49.31,Transport drogowy pasażerski rozkładowy
PODKLASA,49.31.Z,Transport drogowy pasażerski rozkładowy
KLASA,49.32,Transport drogowy pasażerski inny niż rozkładowy
PODKLASA,49.32.Z,Transport drogowy pasażerski inny niż rozkładowy
KLASA,49.33,Transport pasażerski na żądanie pojazdem z kierowcą
